Date,"Cat"
2018-02-15,6990
2018-02-16,6582
2018-02-17,6152
2018-02-18,6598
2018-02-19,7068
2018-02-20,7489
2018-02-21,7618
2018-02-22,7616
2018-02-23,7276
2018-02-24,5975
2018-02-25,7142
2018-02-26,8078
2018-02-27,8168
2018-02-28,8079
2018-03-01,7579
2018-03-02,6989
2018-03-03,6216
2018-03-04,6961
2018-03-05,7803
2018-03-06,7976
2018-03-07,7800
2018-03-08,7726
2018-03-09,7502
2018-03-10,6357
2018-03-11,7252
2018-03-12,8174
2018-03-13,8266
2018-03-14,8001
2018-03-15,7801
2018-03-16,6917
2018-03-17,6117
2018-03-18,6783
2018-03-19,7958
2018-03-20,7535
2018-03-21,7858
2018-03-22,7797
2018-03-23,7122
2018-03-24,5864
2018-03-25,6465
2018-03-26,7056
2018-03-27,7507
2018-03-28,9050
2018-03-29,7352
2018-03-30,6561
2018-03-31,5961
2018-04-01,6288
2018-04-02,7076
2018-04-03,7368
2018-04-04,7198
2018-04-05,7498
2018-04-06,6757
2018-04-07,6076
2018-04-08,6527
2018-04-09,7651
2018-04-10,7432
2018-04-11,7494
2018-04-12,7626
2018-04-13,7457
2018-04-14,6595
2018-04-15,6721
2018-04-16,7777
2018-04-17,7667
2018-04-18,7434
2018-04-19,7329
2018-04-20,6926
2018-04-21,5581
2018-04-22,6396
2018-04-23,7712
2018-04-24,7420
2018-04-25,7867
2018-04-26,7171
2018-04-27,6769
2018-04-28,5639
2018-04-29,6032
2018-04-30,6900
2018-05-01,7125
2018-05-02,7086
2018-05-03,6764
2018-05-04,6440
2018-05-05,5390
2018-05-06,6123
2018-05-07,6793
2018-05-08,6860
2018-05-09,7027
2018-05-10,7211
2018-05-11,6560
2018-05-12,5366
2018-05-13,6176
2018-05-14,7061
2018-05-15,7132
2018-05-16,7473
2018-05-17,7542
2018-05-18,6434
2018-05-19,5554
2018-05-20,6126
2018-05-21,7396
2018-05-22,7694
2018-05-23,7330
2018-05-24,7055
2018-05-25,6588
2018-05-26,5630
2018-05-27,6080
2018-05-28,6694
2018-05-29,6872
2018-05-30,6751
2018-05-31,6575
2018-06-01,6189
2018-06-02,5831
2018-06-03,6434
2018-06-04,7121
2018-06-05,7439
2018-06-06,7090
2018-06-07,6768
2018-06-08,6370
2018-06-09,5717
2018-06-10,6869
2018-06-11,6615
2018-06-12,7112
2018-06-13,7853
2018-06-14,6128
2018-06-15,5707
2018-06-16,5553
2018-06-17,6093
2018-06-18,6492
2018-06-19,6231
2018-06-20,6436
2018-06-21,6142
2018-06-22,5641
2018-06-23,5952
2018-06-24,5982
2018-06-25,6793
2018-06-26,6492
2018-06-27,6145
2018-06-28,6243
2018-06-29,5769
2018-06-30,5453
2018-07-01,6008
2018-07-02,6391
2018-07-03,6126
2018-07-04,6132
2018-07-05,6258
2018-07-06,5964
2018-07-07,5949
2018-07-08,6217
2018-07-09,6587
2018-07-10,6424
2018-07-11,6167
2018-07-12,6031
2018-07-13,5782
2018-07-14,5709
2018-07-15,6170
2018-07-16,6295
2018-07-17,6353
2018-07-18,6207
2018-07-19,6201
2018-07-20,5796
2018-07-21,5665
2018-07-22,6439
2018-07-23,6623
2018-07-24,6446
2018-07-25,6427
2018-07-26,6216
2018-07-27,5975
2018-07-28,5885
2018-07-29,7125
2018-07-30,6783
2018-07-31,7063
2018-08-01,6318
2018-08-02,5942
2018-08-03,5889
2018-08-04,5767
2018-08-05,6229
2018-08-06,6948
2018-08-07,6824
2018-08-08,7337
2018-08-09,6563
2018-08-10,6054
2018-08-11,5512
2018-08-12,6094
2018-08-13,6233
2018-08-14,6153
2018-08-15,6134
2018-08-16,6121
2018-08-17,5763
2018-08-18,5585
2018-08-19,5869
2018-08-20,6212
2018-08-21,5879
2018-08-22,6485
2018-08-23,6769
2018-08-24,6035
2018-08-25,5452
2018-08-26,5880
2018-08-27,6228
2018-08-28,6553
2018-08-29,6634
2018-08-30,6479
2018-08-31,6624
2018-09-01,5735
2018-09-02,6007
2018-09-03,6446
2018-09-04,6261
2018-09-05,6351
2018-09-06,6449
2018-09-07,6254
2018-09-08,6085
2018-09-09,6213
2018-09-10,6730
2018-09-11,6893
2018-09-12,6988
2018-09-13,7022
2018-09-14,6582
2018-09-15,5831
2018-09-16,6923
2018-09-17,8102
2018-09-18,8372
2018-09-19,7861
2018-09-20,7325
2018-09-21,6766
2018-09-22,7166
2018-09-23,6444
2018-09-24,7653
2018-09-25,7337
2018-09-26,7442
2018-09-27,7096
2018-09-28,6385
2018-09-29,5714
2018-09-30,6127
2018-10-01,6778
2018-10-02,7702
2018-10-03,7480
2018-10-04,7827
2018-10-05,6532
2018-10-06,5934
2018-10-07,6027
2018-10-08,6564
2018-10-09,7175
2018-10-10,7525
2018-10-11,7312
2018-10-12,6411
2018-10-13,5980
2018-10-14,6505
2018-10-15,7954
2018-10-16,7580
2018-10-17,7670
2018-10-18,7790
2018-10-19,6912
2018-10-20,6014
2018-10-21,6654
2018-10-22,7455
2018-10-23,7248
2018-10-24,7164
2018-10-25,7280
2018-10-26,6325
2018-10-27,6774
2018-10-28,6645
2018-10-29,7552
2018-10-30,7478
2018-10-31,6997
2018-11-01,8905
2018-11-02,6951
2018-11-03,6214
2018-11-04,7831
2018-11-05,7435
2018-11-06,8655
2018-11-07,7566
2018-11-08,7739
2018-11-09,7023
2018-11-10,6647
2018-11-11,7060
2018-11-12,8500
2018-11-13,8321
2018-11-14,7903
2018-11-15,7642
2018-11-16,8831
2018-11-17,6737
2018-11-18,6696
2018-11-19,8323
2018-11-20,8138
2018-11-21,7159
2018-11-22,6709
2018-11-23,5969
2018-11-24,6007
2018-11-25,6574
2018-11-26,7139
2018-11-27,7325
2018-11-28,7470
2018-11-29,6996
2018-11-30,6321
2018-12-01,5694
2018-12-02,6391
2018-12-03,7188
2018-12-04,7151
2018-12-05,7084
2018-12-06,7240
2018-12-07,6644
2018-12-08,6041
2018-12-09,6664
2018-12-10,7312
2018-12-11,7237
2018-12-12,6968
2018-12-13,6719
2018-12-14,6420
2018-12-15,5616
2018-12-16,5962
2018-12-17,6473
2018-12-18,6328
2018-12-19,6079
2018-12-20,6580
2018-12-21,5644
2018-12-22,5347
2018-12-23,5656
2018-12-24,5710
2018-12-25,5483
2018-12-26,5746
2018-12-27,5941
2018-12-28,5533
2018-12-29,5592
2018-12-30,6057
